ticker;year_report;quarter_report;period_date;pe;pb;ps;price_to_cash_flow;ev_to_ebitda;roe;roa;gross_margin;pre_tax_margin;after_tax_margin;debt_to_equity;financial_leverage;current_ratio;quick_ratio;cash_ratio;asset_turnover;market_cap;shares;net_interest_margin;cir;car;casa_ratio;npl;ldr;loans_growth;deposit_growth
PGS;2025;2;;18.2452249598;2.2094221862;0.3279369857;7.5371271288;8.4783803213;0.1171472171;0.0437893236;0.1467291907;0.0226366247;0.0179738527;1.9430144951;1.9430144951;1.0635587986;0.9959914379;0.5233017694;2.4362792089;2159947900800.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2025;3;;22.37668772;2.6335115122;0.4146945954;16.1155717227;10.9655370924;0.117853513;0.0433517121;0.1462804821;0.0232644079;0.0185324388;1.6309482785;1.6309482785;1.0943386371;1.0099718324;0.5504724467;2.3392340663;2669935599600.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2025;4;;22.4772273138;2.5373703484;0.4194739458;128.0863349197;10.8235111128;0.1131085977;0.0426309902;0.1496037937;0.0230019735;0.0186621748;1.5068408599;1.5068408599;1.0683898954;0.9738091761;0.4478587915;2.2843527401;2584937649800.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2024;1;;19.3912003397;1.2494929053;1.4389654605;22.9287415346;-5.8620684958;0.0684720084;0.0301546634;0.2677090608;0.0687863141;0.0511159841;0.6700337307;0.6700337307;1.4808281382;1.4541679086;0.1706296403;0.4063579954;34194663700.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2024;2;;8.0911760816;1.2137701509;1.2477071429;3.7577989124;-3.7021909021;0.1440326771;0.0641148206;0.2499907707;0.1654108568;0.1497776173;0.8211774455;0.8211774455;1.3660775007;1.3486364646;0.3373155507;0.4157740911;31422123400.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2024;3;;21.4501616054;2.1076161664;1.9282486411;-10.0607111363;-26.3134337478;0.1078169331;0.0468120351;0.3370350584;0.1417193263;0.129354689;0.7921541255;0.7921541255;1.5398832255;1.516179022;0.3848083772;0.5207449371;64692607000.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2024;4;;20.4824364418;3.061638203;2.6531784262;-19.3380513675;-59.1756796856;0.1539260852;0.070990162;0.3839401396;0.1810678277;0.1529564537;0.5640057699;0.5640057699;1.8237469177;1.8087090667;0.3108437838;0.548041348;96114730400.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2025;1;;14.220464614;2.4356774049;1.8759618963;88.6120065068;38.8770257431;0.1885102109;0.0806110119;0.4785194692;0.2031265036;0.1792256915;0.6346286639;0.6346286639;1.742377904;1.7307365933;0.3503789179;0.6110604081;81327848800.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2025;2;;11.1258165167;2.3578513565;1.6957059378;-47.6485230973;15.3091660537;0.2268642126;0.0988628176;0.4741617;0.2094581118;0.1888854012;0.6375706511;0.6375706511;1.7613464369;1.7508603394;0.3199839021;0.6486558459;82252028900.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2025;3;;14.47233616;2.1763386203;1.3945790186;-12.236760309;33.4235009013;0.1427177849;0.0610863259;0.4402197626;0.1189258776;0.0984513861;1.0697786566;1.0697786566;1.4161878975;1.3866917808;0.1702300983;0.6339273943;67465147300.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGT;2025;4;;9.0936334483;1.5117462176;1.2372596219;25.0944610223;11.7290203209;0.1857421656;0.0890891985;0.4065435258;0.1540942058;0.1433749428;0.4896119746;0.4896119746;2.1941365064;2.1470189225;0.4868484651;0.654789424;60071706500.0;9241801.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2024;1;;512.2019612657;1.8614202879;0.6250143633;130.9536478082;7.9032394484;0.0032688198;0.0008908273;0.0956945669;0.0032591186;0.0016861393;2.8527655216;2.8527655216;1.3284487375;1.097836499;0.0429078895;0.7300368449;27468793724700.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2024;2;;-17.406965339;1.6212365233;0.5613392046;-21.3193159005;8.1784334507;-0.0870045071;-0.0228007264;0.083773054;-0.0353791773;-0.0321028632;2.9377692863;2.9377692863;1.3773812182;1.1455570866;0.0202491976;0.7070438885;23143441747600.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2024;3;;-57.1098375215;1.4562219947;0.5488713789;37.7197922028;8.2071457596;-0.0254467088;-0.0066044946;0.0707432064;-0.0099120322;-0.0095864623;2.5796396571;2.5796396571;1.3199095785;1.0592008327;0.0979278169;0.6871949015;21514413080900.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2024;4;;-24.237237674;1.4940986237;0.5232155572;60.6932550148;7.6540042202;-0.0592270589;-0.0153957389;0.0732282118;-0.0213938134;-0.0215179351;2.7932865037;2.7932865037;1.2176941046;1.0400262721;0.0447936092;0.7131863294;21289719471700.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2025;1;;-168.2820517782;1.4958164544;0.5156894009;-398.9701530302;7.3044068201;-0.0088483448;-0.0022998452;0.0785443177;-0.0028311483;-0.0029575997;2.7473527274;2.7473527274;1.2129811264;1.0037946407;0.0176573321;0.7504956738;21458239678600.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2025;2;;21.8727858581;1.4991601997;0.5575036191;46.2539195526;6.7013283622;0.0711952869;0.019208499;0.1030232183;0.0257047008;0.0256361624;2.4011883741;2.4011883741;1.4271288365;1.1798160019;0.0491372016;0.7536155291;22806401333800.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2025;3;;33.8377902325;1.578003241;0.5757259533;13.6679136761;6.276649428;0.0484680388;0.0134338144;0.1075326702;0.0173622656;0.0172734145;2.2122122323;2.2122122323;1.3763736674;1.1374955806;0.1289746634;0.7895607107;24266909793600.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGV;2025;4;;7.2458603338;1.5339390073;0.6189703934;9.4888574722;5.0730240432;0.2338387977;0.0674747721;0.160398958;0.0986357889;0.0856810111;2.0738233784;2.0738233784;1.4511092609;1.2850492114;0.1491964145;0.7898807116;26963233104000.0;1123468046.0;0.0;0.0;;;0.0;0.0;0.0;0.0
